times in msec
 clock   self+sourced   self:  sourced script
 clock   elapsed:              other lines

000.006  000.006: --- NVIM STARTING ---
000.197  000.191: locale set
000.406  000.209: inits 1
000.414  000.008: window checked
002.599  002.185: parsing arguments
002.638  000.039: expanding arguments
002.656  000.018: inits 2
002.997  000.341: init highlight
002.998  000.001: waiting for UI
003.533  000.535: done waiting for UI
003.543  000.011: init screen for UI
003.561  000.018: init default mappings
003.613  000.052: init default autocommands
003.646  000.008  000.008: sourcing /usr/share/nvim/archlinux.vim
003.648  000.023  000.015: sourcing /etc/xdg/nvim/sysinit.vim
006.158  000.084  000.084: sourcing /home/chris/.local/share/nvim/site/pack/packer/opt/vim-dirvish/plugin/dirvish.vim
033.890  000.440  000.440: sourcing /home/chris/.local/share/nvim/site/pack/packer/start/wilder.nvim/autoload/wilder.vim
034.187  000.109  000.109: sourcing /home/chris/.local/share/nvim/site/pack/packer/start/wilder.nvim/autoload/wilder/highlighter.vim
034.480  000.028  000.028: sourcing /home/chris/.local/share/nvim/site/pack/packer/start/wilder.nvim/autoload/wilder/renderer/component/popupmenu_scrollbar.vim
034.811  000.107  000.107: sourcing /home/chris/.local/share/nvim/site/pack/packer/start/wilder.nvim/autoload/wilder/renderer/popupmenu_border_theme.vim
035.158  000.025  000.025: sourcing /home/chris/.local/share/nvim/site/pack/packer/start/wilder.nvim/autoload/wilder/setup.vim
035.385  000.038  000.038: sourcing /home/chris/.local/share/nvim/site/pack/packer/start/wilder.nvim/autoload/wilder/options.vim
035.805  000.038  000.038: sourcing /home/chris/.local/share/nvim/site/pack/packer/start/wilder.nvim/autoload/wilder/renderer/component/wildmenu_spinner.vim
036.032  000.027  000.027: sourcing /home/chris/.local/share/nvim/site/pack/packer/start/wilder.nvim/autoload/wilder/renderer/component/spinner.vim
036.291  000.026  000.026: sourcing /home/chris/.local/share/nvim/site/pack/packer/start/wilder.nvim/autoload/wilder/renderer/component/wildmenu_index.vim
036.548  000.046  000.046: sourcing /home/chris/.local/share/nvim/site/pack/packer/start/wilder.nvim/autoload/wilder/renderer/wildmenu_float_or_popup.vim
036.873  000.156  000.156: sourcing /home/chris/.local/share/nvim/site/pack/packer/start/wilder.nvim/autoload/wilder/renderer/wildmenu.vim
